,de,fr,ja,ko,sentiment,hashtags,user_mentions,author_followers_count,author_friends_count,author_statuses_count,retweet_count,favorite_count,ADJ,ADV,CC,CS,ET,I,NC,NP,PREF,PRO,V,PUNC
1113959147966484480,1,0,0,0,-0.673267,0,3,459,328,5638,0,0,3,6,3,0,0,0,5,3,4,4,8,6
1113960809846181888,1,0,0,0,-0.712277,0,0,747,789,2037,3,7,3,2,4,0,0,0,7,0,1,8,10,6
1113963219553538048,1,0,0,0,0.0,1,4,4136,4992,81744,1,1,2,1,2,1,0,0,4,3,2,6,4,4
1113965054729363457,1,0,0,0,0.0,0,0,173,1803,2692,0,0,5,3,2,1,1,0,8,0,4,10,7,2
1113965757589639168,1,0,0,0,0.543593,0,1,1537,2703,2430,0,0,4,2,4,1,0,0,8,3,4,6,10,8
1113966597197246464,1,0,0,0,-0.99686,0,0,109,3,867513,0,0,0,0,0,0,0,0,3,1,0,0,3,2
1113967071443017734,1,0,0,0,-0.5784,0,1,0,6,70,0,1,7,7,3,1,0,0,5,4,3,5,7,3
1113970766784032768,0,0,1,0,-0.695543,0,0,34873,99,9714,315,264,4,1,0,0,0,0,23,3,1,3,18,17
1113971057508134912,1,0,0,0,-0.649871,0,1,10,185,157,0,0,3,2,0,0,0,0,0,0,0,0,2,2
1113972140322091008,0,0,0,1,-0.571884,0,0,16914,3030,31025,292,78,3,1,0,0,1,0,32,1,0,3,7,9
1113972562462224389,1,0,0,0,0.0,0,5,40,96,155,0,2,0,0,0,0,0,0,0,0,0,3,3,1
1113972615553667073,1,0,0,0,0.0,0,1,9,17,267,0,0,2,6,2,0,0,0,7,3,4,4,5,8
1113972673963364352,0,0,1,0,0.693916,0,0,1140584,23,7786,13233,13304,3,0,0,0,0,0,28,5,0,0,8,16
1113977609921212416,1,0,0,0,0.738814,0,0,3581,3368,127956,0,0,0,0,0,0,0,0,2,1,0,1,3,1
1113980332850675713,1,0,0,0,-0.487161,0,0,3888,4994,37476,0,18,2,3,1,0,0,0,3,0,0,3,5,5
1113982514715140097,0,1,0,0,0.0,1,0,187,52,22110,1,1,1,1,0,1,0,0,6,3,0,0,3,4
1113984091463065600,1,0,0,0,-0.521884,0,1,75,56,3639,0,0,2,0,0,0,0,0,1,0,1,4,3,3
1113984415938502657,0,0,1,0,0.505543,0,0,234459,453,21390,47,961,0,0,0,0,0,0,0,0,0,0,1,1
1113986330172641280,0,0,0,1,-0.867265,0,0,81,115,2487,3,6,4,0,0,0,1,0,24,0,0,0,13,0
1113988236202971136,1,0,0,0,0.0,0,0,3,4,595,0,0,1,0,0,0,0,0,9,2,6,4,10,6
1113989684831502337,1,0,0,0,0.832,0,7,203,486,1946,0,0,3,5,1,1,0,0,2,0,1,6,8,7
1113990806711480322,0,1,0,0,0.381317,0,2,332,108,14815,1,2,3,1,2,0,0,0,5,0,0,4,4,1
1113994336000253952,1,0,0,0,-0.737398,0,1,4430,4732,53354,0,0,0,0,0,0,0,0,4,0,1,0,3,1
1113994566770864128,1,0,0,0,-0.698393,0,0,2730,3295,17096,0,0,3,2,0,0,2,0,8,1,3,2,4,7
1113997462526677003,1,0,0,0,0.0,0,1,51,25,805,0,0,0,2,0,0,0,0,2,0,0,2,2,1
1113998194461954048,0,0,1,0,-0.697497,0,0,38039,23436,38472,63,91,4,2,0,0,0,0,21,5,1,2,21,8
1113999239363710977,0,0,0,1,-0.549568,0,0,29,20,362,2,2,5,2,0,0,1,0,17,0,0,0,4,1
1113999707112497152,0,0,1,0,0.780324,0,0,53852,280,142508,4,59,2,2,0,0,0,0,5,3,0,0,10,1
1114001529281769473,0,0,1,0,0.0,0,0,26736,167,9515,7,179,0,0,0,0,0,0,1,0,0,0,4,3
1114001792667455488,1,0,0,0,0.0,0,2,360,450,300,0,0,4,3,2,1,0,0,5,3,3,10,10,16
1114001874682695680,0,0,0,1,-0.368006,0,1,278,1,1086,0,0,4,1,0,0,3,2,17,1,0,3,12,11
1114001917552680962,0,0,0,1,0.0,0,0,5,7,15799,0,0,3,0,0,0,0,0,4,0,0,0,0,3
1114001934841593857,0,0,0,1,-0.633454,0,0,78,100,57145,0,0,3,2,0,1,0,10,13,1,0,1,10,3
1114001943506980870,0,0,0,1,0.992794,0,0,837,180,16877,1,2,7,3,0,0,0,0,22,1,0,1,12,0
1114002172092583936,0,0,0,1,0.587779,1,0,21,21,3722,0,2,1,0,0,0,1,1,16,0,0,1,11,2
1114002413260664832,0,0,0,1,-0.75106,0,0,826,339,28102,0,0,2,1,0,0,2,0,20,6,0,0,9,6
1114002423863889920,0,0,0,1,-0.827044,0,0,2317,609,6628,3,0,3,1,0,0,6,0,24,0,0,2,12,5
1114002452519444480,0,0,0,1,-0.644835,0,0,1,5,178,0,0,5,0,2,2,1,0,18,0,0,7,13,2
1114002561755779072,0,0,0,1,-0.654338,0,0,1,5,178,0,0,3,0,0,0,0,0,5,0,0,2,5,1
1114002622971691009,0,0,0,1,-0.445253,0,0,98,75,780,0,0,3,1,0,0,0,0,2,0,0,0,2,2
1114002770149793792,0,0,0,1,-0.710574,0,0,4,28,51,0,0,3,0,0,0,0,0,5,0,0,0,4,2
1114002778395791360,0,0,1,0,-0.605439,0,0,198,599,9978,1,0,1,0,0,0,0,0,13,0,0,1,4,5
1114002779226304512,0,0,0,1,0.0,0,0,2201,1780,521865,0,0,2,0,0,0,0,0,12,3,1,0,1,1
1114002834075213824,0,0,0,1,-0.328035,0,0,13,24,3066,0,1,5,0,1,1,0,0,26,0,0,0,11,4
1114002857663971333,0,0,0,1,0.0,0,0,178,220,20890,0,0,1,0,0,0,0,0,6,1,0,1,2,1
1114003008969273344,0,0,0,1,-0.844344,0,0,5,43,314,0,0,1,0,0,0,0,1,5,0,0,0,0,2
1114003271461392384,0,0,0,1,0.594381,0,0,366,107,31032,0,1,3,3,0,0,0,3,20,3,0,0,6,3
1114003390500036608,0,0,0,1,-0.431766,0,0,5,5,13764,0,0,6,0,0,0,0,0,11,2,0,0,4,8
1114003482405691392,0,1,0,0,0.983699,2,0,115,160,611,1,2,2,0,0,0,0,0,10,1,0,0,2,2
1114003648432852992,0,0,0,1,-0.783396,0,0,32,71,1626,0,0,2,1,0,0,0,0,9,4,0,0,1,3
1114004047382474752,0,0,1,0,0.0,0,0,24708,25409,721729,1,1,2,0,0,0,0,0,33,2,1,0,14,10
1114004127812481024,0,0,0,1,0.0,0,0,289,285,218,0,0,5,0,0,0,0,0,7,1,0,0,3,2
1114004246888947714,0,1,0,0,0.73066,1,2,687,338,1900,1,0,4,1,1,1,1,1,3,2,0,0,2,5
1114004349582282752,0,1,0,0,-0.528806,0,0,7,18,1339,0,0,4,2,1,0,0,0,9,8,0,5,7,6
1114004365432504320,0,1,0,0,0.48328,0,5,360,335,4684,0,0,0,1,0,0,0,0,1,0,0,0,2,1
1114004405655953408,0,1,0,0,-0.452164,0,0,73,124,1720,2,3,0,2,1,0,0,0,5,2,0,2,4,3
1114004412043862016,0,1,0,0,-0.617994,0,2,63,428,2691,0,0,2,3,1,0,0,0,2,1,0,0,1,1
1114004418352046080,0,1,0,0,-0.98981,0,0,951,459,55333,0,0,4,5,0,0,0,0,7,0,0,1,3,1
1114004444168036352,0,1,0,0,-0.808456,0,1,4849,1126,87004,0,0,11,5,3,0,0,0,9,0,0,0,6,2
1114004454141902850,0,1,0,0,0.0,0,1,45,6,2329,0,0,7,3,2,0,0,0,13,2,0,4,6,4
1114004474450907136,0,1,0,0,0.321345,0,1,81,126,364,0,0,2,4,0,2,0,0,4,1,0,2,6,0
1114004488703098880,0,1,0,0,-0.832232,0,1,508,187,128151,0,0,4,1,0,0,0,0,5,0,0,1,4,0
1114004488954634240,0,0,0,1,-0.453655,0,0,15537,1562,2876,0,2,8,0,0,0,0,0,17,0,2,3,4,2
1114004490489880576,0,1,0,0,-0.96202,0,0,147,120,6467,0,0,0,7,1,1,0,0,6,0,0,1,6,3
1114004502804357121,0,1,0,0,0.97697,0,9,53,351,165,0,0,4,0,0,1,0,0,3,2,0,1,2,3
1114004510375141376,0,1,0,0,0.0,0,2,1437,1058,35588,0,0,2,2,0,1,0,0,7,1,0,1,3,1
1114004510731587584,0,1,0,0,-0.728406,0,2,167,361,1589,0,0,2,6,4,0,0,0,8,3,0,0,4,6
1114004540167196674,0,1,0,0,0.0,0,1,545,544,35158,0,0,3,7,2,0,0,1,9,0,0,0,3,2
1114004554775957505,0,1,0,0,0.355113,0,0,477,112,1676,0,0,4,4,0,0,0,0,6,2,0,0,2,2
1114004556466155521,0,0,0,1,0.488321,0,1,24,24,9449,0,0,4,1,0,0,1,0,10,2,0,0,5,5
1114004557137313793,0,1,0,0,-0.893327,0,0,1363,477,29999,0,0,1,0,0,1,0,0,2,0,0,0,2,0
1114004566176038912,0,1,0,0,-0.449294,0,2,18,54,8,0,0,3,1,1,0,0,1,3,0,0,1,1,0
1114004582638727169,0,1,0,0,0.699145,0,2,673,77,182,0,0,2,1,0,1,0,0,1,0,0,4,1,0
1114004593199812609,0,1,0,0,0.682864,1,0,226,11,13190,0,0,3,0,0,0,0,1,3,1,0,1,2,4
1114004629602406403,0,1,0,0,0.0,2,2,1794,2583,29978,0,0,3,0,0,0,0,0,6,17,0,0,6,3
1114004632827723779,0,1,0,0,-0.803935,0,2,322,199,147532,0,0,2,0,0,0,0,0,6,0,0,0,2,0
1114004682056376326,0,1,0,0,0.0,0,1,2914,3057,146712,0,0,4,2,0,1,0,0,7,0,0,0,3,2
1114004717368217603,0,1,0,0,0.964818,0,1,58,239,2415,0,0,3,2,2,0,1,0,12,0,0,2,2,5
1114004719008124928,0,1,0,0,-0.990989,0,3,9,79,378,0,0,4,1,2,0,2,0,11,0,0,3,7,1
1114004735282094085,0,1,0,0,0.526708,0,0,776,587,50721,0,0,0,0,1,0,0,0,3,0,0,0,1,0
1114004735479222273,0,1,0,0,0.560369,0,1,85,570,5066,0,0,0,3,1,0,0,0,2,0,0,2,1,0
1114004739509903366,0,1,0,0,-0.746386,0,0,296,667,5730,0,0,2,5,0,0,0,0,1,0,0,0,1,1
1114004741095399425,0,1,0,0,0.996036,0,2,5,52,726,0,0,1,1,1,2,0,0,5,0,0,1,2,3
1114004746413543424,0,1,0,0,-0.965447,0,0,155,169,7588,0,0,2,1,0,0,0,0,5,0,0,1,3,1
1114004752923222016,0,0,0,1,-0.769864,0,0,336,87,54675,0,0,2,0,0,0,0,0,11,0,0,0,1,2
1114004769134321664,0,1,0,0,0.0,0,1,140,155,3272,0,0,3,4,5,0,6,0,9,1,0,0,4,9
